"Timestamp","Average Grade","Birth Year","Nationality","Gender","Favorite Pastime","Favorite Music Genre","Favorite Sport","Favorite Flavor Type","Personality","Typical Sleeping Hour","Do you smoke?","Favorite Color","Favorite Digit","Horoscope","Aptitude to work in groups","Do you Procrastinate a lot?","Are you organized?","Do you have Siblings? How many?","Monthly Spending","Course After Diploma","Enjoyment of Studying in Singapore","Enjoyment of Studying in PSB Academy","Favorite DICT Module","Hardest DICT Module"
"2019/08/29 5:39:43 PM GMT+8","8","1998","Korean","Male","Physical Sports","Pop","Football","Sweet","5",">8","No","White","7","Aries","6","No","Yes","2","400000","PSB University of Newcastle","7","7","",""
"2019/08/29 5:40:18 PM GMT+8","8","<1995","Srilankan","Male","Listen to Music","Rap","Cricket","Salty","3","6-7","No","Black","1","Sagittarius","5","No","Yes","1","500$","PSB Coventry University","6","7","",""
"2019/08/29 5:42:24 PM GMT+8","10","1998","Korean","Male","Physical Sports","Pop","Football","Sweet","4","6-7","No","Green","4","Capricorn","8","Yes","Yes","0","No","Not in Singapore","6","7","",""
"2019/08/29 5:47:06 PM GMT+8","7","1998","Korean","Male","Physical Sports","EDM","Football","Sweet","5",">8","Yes","Black","6","Virgo","10","Yes","Yes","6","Yes","PSB Coventry University","8","9","",""
"2019/08/29 5:53:24 PM GMT+8","5","1999","Malaysian","Male","Games","Rock","Basketball","Sweet","3","4-5","Yes","Blue","5","Capricorn","5","Yes","Yes","5","150","PSB Coventry University","5","5","IP ICOS","IP ISEG"
"2019/08/29 5:59:26 PM GMT+8","5","1998","Korean","Male","Physical Sports","Rap","Football","Salty","5","6-7","Yes","Blue","7","Libra","10","Yes","Yes","1","500","Other institution Overseas","6","7","EG","EG"
"2019/08/29 6:08:46 PM GMT+8","6","<1995","Korean","Male","Hanging out with friends outside","Jazz","Football","Salty","3","6-7","No","Green","5","Aquarius","5","No","No","1","450dollar","No Further Studies","5","5","",""
"2019/08/29 6:08:50 PM GMT+8","8","1998","Malaysian","Male","Listen to Music","EDM","Football","Salty","1","6-7","No","Black","6","Libra","3","Yes","Yes","1","1000","Other institution Overseas","1","1","a c","i se g"
"2019/08/29 6:09:30 PM GMT+8","10","1998","Korean","Male","Games","Pop","Football","Sour","3","6-7","Yes","Blue","3","Aries","5","No","Yes","1","$900","Other institution Overseas","5","5","",""
"2019/08/29 6:09:31 PM GMT+8","7","1995","Korean","Male","Hanging out with friends outside","Rap","Football","Bitter","4","4-5","No","Red","5","Taurus","5","No","Yes","1","1000 sgd","Other Institution in Singapore","5","5","",""
"2019/08/29 6:15:25 PM GMT+8","10","1998","Korean","Male","Games","Pop","Football","Sour","3","6-7","Yes","Blue","3","Aries","5","No","Yes","1","900$","Other institution Overseas","5","5","Ip","Ip"
"2019/08/29 6:31:19 PM GMT+8","5","2000","Burmese","Male","Games","Pop","Volleyball","Sweet","4","6-7","No","Red","7","Taurus","8","Yes","Yes","2","1000","PSB Coventry University","7","8","Istg ","Marvel"
"2019/08/29 6:43:15 PM GMT+8","8","1998","Korean","Male","Listen to Music","Pop","Football","Savoury","4","6-7","No","Purple","1","Scorpio","3","No","Yes","2","A seven hundred dollars","Other institution Overseas","9","9","",""
"2019/08/29 6:44:35 PM GMT+8","6","1999","Burmese","Female","Listen to Music","Pop","Tennis","Sweet","1",">8","No","Purple","2","Pisces","7","Yes","No","0","<200","PSB University of Newcastle","6","6","DM","IP"
"2019/08/29 6:48:03 PM GMT+8","10","1998","Korean","Male","Games","Pop","Football","Sweet","3","6-7","No","Blue","1","Aquarius","3","Yes","Yes","1","150000","PSB Coventry University","10","10","",""
"2019/08/29 6:48:22 PM GMT+8","7","1995","Korean","Female","Hanging out with friends outside","Rap","Football","Savoury","4","6-7","No","Red","1","Pisces","8","No","No","1","1500 sgd","PSB University of Newcastle","6","6","",""
"2019/08/29 7:50:17 PM GMT+8","6","2000","Korean","Male","Games","Pop","Football","Sweet","4","6-7","No","Green","7","Libra","5","No","No","1","600","Other Institution in Singapore","4","5","",""
"2019/08/29 8:24:22 PM GMT+8","6","1998","Korean","Female","Listen to Music","Pop","Volleyball","Sweet","5",">8","No","White","7","Sagittarius","4","Yes","Yes","2","SGD 900","PSB Coventry University","8","7","ARW2","EEP2"
"2019/08/29 8:31:33 PM GMT+8","8","1998","Indonesian","Female","Hanging out with friends outside","Pop","Football","Sweet","3","4-5","No","Blue","3","Leo","7","Yes","No","2","500 sgd","PSB Coventry University","6","4","",""
"2019/08/29 8:35:16 PM GMT+8","6","1996","Singaporean","Male","Games","EDM","Volleyball","Sweet","3","6-7","No","Black","7","Scorpio","8","Yes","Yes","0","200","PSB University of Newcastle","8","8","Other","Other"
"2019/08/29 8:35:46 PM GMT+8","8","2000","Indian ","Female","Shopping","Pop","Volleyball","Savoury","4","6-7","No","Purple","8","Sagittarius","9","No","Yes","1","$1000 SGD","PSB University of Newcastle","8","9","",""
"2019/08/29 9:01:42 PM GMT+8","10","2000","Indian ","Male","Games","Pop","Football","Savoury","5","4-5","Yes","Yellow","10","Gemini","10","Yes","Yes","2","1000","PSB Edith Cowan University","9","8","",""
"2019/08/29 10:17:34 PM GMT+8","9","1999","Indian","Male","Physical Sports","Rap","Cricket","Sweet","5","6-7","No","Green","3","Scorpio","10","No","Yes","1","$200","PSB University of Newcastle","9","9","-","-"
